account_sender_name,country_sender,account_receiver_name,country_receiver,datetime_timestamp,amount
Chevron,Germany,Tesla,France,52000,4260501
Tesla,Germany,Altaran,Japan,53000,359939
Nissan,Japan,McKesson,US,54000,1782103
General Motos,US,Exxon Mobil,UK,55000,9189444
Exxon Mobil,France,ConocoPhillips,US,56000,9231
Walmart,UK,John Coulberg,France,57000,3619738
Activision Blizard,Spain,Elon Musk,Spain,58000,4311072
Tesla,UK,Tesla,US,59000,4943928
General Motos,Germany,Elon Musk,Japan,60000,9475391
Elon Musk,Spain,Walmart,US,61000,9154299
Elon Musk,Japan,Altaran,Germany,62000,3949203
John Coulberg,Japan,Walmart,UK,63000,9881799
McKesson,UK,Activision Blizard,Spain,64000,2600331
Altaran,US,General Motos,Japan,65000,6975516
Walmart,UK,Tesla,France,66000,2821306
Renault,Germany,ConocoPhillips,UK,67000,5133728
Tesla,US,ConocoPhillips,US,68000,3968810
Exxon Mobil,Germany,Renault,US,69000,708915
Walmart,US,Chevron,UK,70000,5926494
Activision Blizard,France,Renault,Germany,71000,6826917
Activision Blizard,Germany,Elon Musk,Japan,72000,8305823
McKesson,Spain,Altaran,UK,73000,2076887
Chevron,Spain,Exxon Mobil,UK,74000,8935612
Exxon Mobil,Spain,Exxon Mobil,France,75000,7794228
Chevron,Spain,Chevron,France,76000,4505040
Elon Musk,Japan,Elon Musk,US,77000,1216897
McKesson,Germany,Walmart,Japan,78000,5130618
Activision Blizard,US,Exxon Mobil,Spain,79000,4989897
McKesson,UK,Tesla,Japan,80000,7272414
General Motos,Japan,Laurent Alexandre,France,81000,1273495
Nissan,Germany,ConocoPhillips,France,82000,2336988
Walmart,Germany,Chevron,Germany,83000,1322265
John Coulberg,US,Tesla,France,84000,2777803
Activision Blizard,Japan,Tesla,US,85000,3385057
Altaran,France,Altaran,Spain,86000,3435580
John Coulberg,US,ConocoPhillips,UK,87000,7895982
Elon Musk,France,Altaran,France,88000,435570
Activision Blizard,UK,McKesson,Germany,89000,9611025
Elon Musk,UK,Altaran,UK,90000,3992011
Laurent Alexandre,Japan,Nissan,Germany,91000,8727119
Tesla,France,ConocoPhillips,Spain,92000,3337811
Altaran,Germany,General Motos,Spain,93000,4719414
Chevron,France,Walmart,Spain,94000,6806899
Altaran,Germany,Walmart,France,95000,1161391
McKesson,Spain,ConocoPhillips,Spain,96000,1425569
Renault,Spain,Tesla,Spain,97000,152180
McKesson,Spain,Laurent Alexandre,UK,98000,4595798
Exxon Mobil,US,General Motos,Germany,99000,9242196
Nissan,Japan,Walmart,Japan,100000,7424425
John Coulberg,France,Exxon Mobil,Japan,101000,3564450
Altaran,Germany,Renault,UK,102000,2797835
Laurent Alexandre,US,Renault,Japan,103000,9285234
Altaran,Spain,Chevron,France,104000,4418121
General Motos,US,Renault,Spain,105000,9676000
Activision Blizard,France,Chevron,UK,106000,551939
Nissan,UK,Elon Musk,UK,107000,9769082
Altaran,Japan,Laurent Alexandre,France,108000,4734510
ConocoPhillips,France,Tesla,UK,109000,9383576
ConocoPhillips,France,Chevron,UK,110000,8169568
Activision Blizard,UK,Walmart,US,111000,2123701
Activision Blizard,US,Elon Musk,Germany,112000,213250
Laurent Alexandre,France,ConocoPhillips,Spain,113000,6525538
Tesla,US,Walmart,Germany,114000,8974526
Walmart,France,Nissan,UK,115000,2236493
Nissan,US,General Motos,France,116000,8221724
McKesson,Spain,John Coulberg,Germany,117000,5598142
Laurent Alexandre,US,Elon Musk,UK,118000,8613609
Renault,Japan,Activision Blizard,Germany,119000,1577653
Chevron,Spain,Walmart,France,120000,6217347
Walmart,Japan,Tesla,Germany,121000,6850519
Renault,US,Activision Blizard,France,122000,4657564
General Motos,UK,Walmart,France,123000,6482689
Altaran,UK,Laurent Alexandre,UK,124000,4447877
John Coulberg,UK,Altaran,Japan,125000,3709998
John Coulberg,France,ConocoPhillips,France,126000,7591167
Tesla,Japan,Activision Blizard,US,127000,21352
Exxon Mobil,Spain,ConocoPhillips,Spain,128000,5884030
General Motos,Spain,ConocoPhillips,Spain,129000,5885864
John Coulberg,Spain,ConocoPhillips,Japan,130000,8009672
Nissan,Germany,Activision Blizard,Japan,131000,4420346
Exxon Mobil,US,Walmart,US,132000,6637889
John Coulberg,US,John Coulberg,France,133000,7035900
ConocoPhillips,France,Nissan,Japan,134000,2648411
General Motos,Japan,Exxon Mobil,Spain,135000,8384698
McKesson,Spain,Nissan,Japan,136000,2948723
John Coulberg,France,Elon Musk,Germany,137000,6056618
Activision Blizard,Japan,General Motos,UK,138000,8073279
Laurent Alexandre,Spain,ConocoPhillips,US,139000,3417060
Exxon Mobil,Germany,ConocoPhillips,Germany,140000,7008562
Chevron,Spain,General Motos,US,141000,7192825
Nissan,Germany,Tesla,US,142000,5208721
Altaran,Spain,ConocoPhillips,Japan,143000,8678164
Walmart,UK,Laurent Alexandre,Germany,144000,9113877
Nissan,UK,Walmart,UK,145000,9205272
Activision Blizard,US,Walmart,Japan,146000,627211
McKesson,France,McKesson,UK,147000,859520
General Motos,Spain,General Motos,UK,148000,5850807
Altaran,France,Chevron,Germany,149000,8482793
Activision Blizard,France,Laurent Alexandre,France,150000,7279874
Exxon Mobil,Germany,Activision Blizard,Japan,151000,1706752
Exxon Mobil,Spain,General Motos,Spain,152000,4885685
ConocoPhillips,Spain,McKesson,Spain,153000,6246322
Tesla,Germany,Chevron,UK,154000,1300223
Walmart,UK,Tesla,Germany,155000,5464934
Walmart,France,Walmart,US,156000,5422618
Renault,France,Nissan,Spain,157000,9004526
Altaran,Japan,Chevron,Spain,158000,6575481
Altaran,Spain,Activision Blizard,Japan,159000,6751447
Nissan,Spain,McKesson,UK,160000,6455856
Renault,US,Walmart,France,161000,9684583
McKesson,US,Tesla,Germany,162000,2363159
McKesson,France,Renault,Spain,163000,5945529
John Coulberg,Japan,Tesla,Spain,164000,5689638
Activision Blizard,Germany,McKesson,US,165000,8228379
John Coulberg,UK,General Motos,Germany,166000,6067836
Nissan,Spain,McKesson,Germany,167000,1221860
Nissan,UK,Activision Blizard,Japan,168000,9411523
Tesla,France,Tesla,France,169000,6918242
ConocoPhillips,Germany,Nissan,Spain,170000,9012177
General Motos,US,Nissan,Japan,171000,7370724
Nissan,France,Elon Musk,France,172000,2587322
General Motos,US,Nissan,Japan,173000,3383077
Exxon Mobil,Spain,Chevron,Japan,174000,7041576
Renault,Germany,Exxon Mobil,US,175000,556694
Activision Blizard,Spain,Walmart,Japan,176000,9031942
Renault,UK,McKesson,France,177000,498972
Tesla,Spain,ConocoPhillips,US,178000,5278665
Tesla,Germany,Chevron,Germany,179000,3669248
Chevron,US,Tesla,UK,180000,4255360
Laurent Alexandre,France,Nissan,Germany,181000,4123575
ConocoPhillips,US,Activision Blizard,US,182000,1955828
Renault,France,Chevron,Germany,183000,2930902
Tesla,UK,Renault,Germany,184000,6842049
Renault,Spain,Exxon Mobil,Spain,185000,522265
McKesson,Germany,Renault,US,186000,4685371
Renault,France,Renault,France,187000,678900
Renault,Germany,ConocoPhillips,Japan,188000,2865819
Nissan,Japan,Renault,Japan,189000,1059359
Tesla,US,Renault,US,190000,8701554
Laurent Alexandre,Japan,John Coulberg,Germany,191000,3807617
Walmart,Germany,Exxon Mobil,Japan,192000,6847353
Chevron,France,ConocoPhillips,Germany,193000,9784792
Exxon Mobil,UK,ConocoPhillips,Spain,194000,2641521
Exxon Mobil,Spain,General Motos,France,195000,8066721
Nissan,US,Walmart,France,196000,6107420
Exxon Mobil,Japan,Exxon Mobil,US,197000,1742658
Chevron,Germany,General Motos,France,198000,7874233
Exxon Mobil,US,John Coulberg,US,199000,9440460
Laurent Alexandre,US,Elon Musk,Spain,200000,10668
ConocoPhillips,Germany,Elon Musk,UK,201000,8775619
Walmart,UK,Exxon Mobil,UK,202000,111077
Tesla,Japan,Altaran,Japan,203000,4089827
ConocoPhillips,Spain,Walmart,UK,204000,7598382
Elon Musk,Spain,McKesson,France,205000,3200967
Activision Blizard,UK,Tesla,UK,206000,7495351
Nissan,US,Walmart,UK,207000,6707524
ConocoPhillips,France,Altaran,US,208000,5707729
Laurent Alexandre,Spain,Altaran,Spain,209000,7692016
Renault,US,Laurent Alexandre,Japan,210000,6699487
General Motos,Spain,Renault,France,211000,1502861
Altaran,UK,ConocoPhillips,UK,212000,5670789
Altaran,Japan,Activision Blizard,France,213000,7824624
Activision Blizard,Japan,Altaran,Germany,214000,6107163
Elon Musk,France,Exxon Mobil,Japan,215000,2165652
Exxon Mobil,UK,Nissan,US,216000,9245949
Elon Musk,US,General Motos,UK,217000,3073748
Exxon Mobil,Germany,McKesson,Spain,218000,2964323
Laurent Alexandre,Germany,Laurent Alexandre,US,219000,6849959
ConocoPhillips,Germany,Chevron,Spain,220000,4058267
ConocoPhillips,Spain,ConocoPhillips,UK,221000,3541803
Activision Blizard,Germany,Exxon Mobil,UK,222000,9390877
Walmart,Spain,Elon Musk,France,223000,5281956
Walmart,Germany,McKesson,UK,224000,3116921
Laurent Alexandre,Japan,Activision Blizard,Spain,225000,5110011
Elon Musk,Japan,Renault,UK,226000,9368878
Tesla,France,Renault,US,227000,399352
Chevron,Japan,Exxon Mobil,Japan,228000,69259
Activision Blizard,Germany,Walmart,Germany,229000,8451350
Walmart,Spain,Chevron,Japan,230000,8259286
Elon Musk,US,Walmart,Spain,231000,1559364
Elon Musk,France,Chevron,Spain,232000,9941905
Tesla,US,McKesson,Japan,233000,6241938
Activision Blizard,US,Chevron,Germany,234000,4738567
Walmart,Japan,Exxon Mobil,Spain,235000,3534423
Exxon Mobil,Spain,Elon Musk,Germany,236000,3896282
Chevron,UK,McKesson,France,237000,9792178
Chevron,Germany,Chevron,Japan,238000,2856164
Chevron,Japan,Nissan,US,239000,9891780
ConocoPhillips,US,Walmart,US,240000,4310469
Walmart,US,Exxon Mobil,Germany,241000,8960751
Activision Blizard,US,Activision Blizard,France,242000,7696492
Renault,Spain,Activision Blizard,France,243000,8528693
Walmart,Japan,Chevron,Spain,244000,3215187
ConocoPhillips,Germany,Altaran,UK,245000,7635882
Tesla,France,Exxon Mobil,US,246000,3818215
ConocoPhillips,US,ConocoPhillips,France,247000,3128982
Walmart,UK,John Coulberg,Japan,248000,7371377
Nissan,France,Altaran,UK,249000,3736449
General Motos,France,McKesson,US,250000,4665979
Exxon Mobil,UK,Chevron,Japan,251000,2648866
John Coulberg,UK,Exxon Mobil,Japan,252000,9517494
Renault,Japan,Chevron,Spain,253000,2065250
Altaran,Germany,Renault,Japan,254000,6011178
ConocoPhillips,Germany,Walmart,UK,255000,2116355
John Coulberg,US,Exxon Mobil,Spain,256000,9020528
Altaran,Spain,Renault,UK,257000,8320478
Tesla,Japan,Walmart,France,258000,4267599
Activision Blizard,France,Exxon Mobil,Germany,259000,2511248
McKesson,Germany,Tesla,Germany,260000,3070390
Laurent Alexandre,Spain,Nissan,UK,261000,1569567
McKesson,France,Laurent Alexandre,Germany,262000,4842440
Elon Musk,France,Walmart,Germany,263000,8486506
Elon Musk,US,Activision Blizard,UK,264000,3881429
Laurent Alexandre,Japan,Renault,France,265000,2287334
Laurent Alexandre,Germany,Elon Musk,Germany,266000,1728052
Renault,Japan,Laurent Alexandre,France,267000,2399780
Chevron,France,Nissan,Germany,268000,2603487
John Coulberg,Japan,Walmart,France,269000,6609595
Elon Musk,Germany,John Coulberg,UK,270000,9189002
Laurent Alexandre,Germany,John Coulberg,Spain,271000,7755298
Exxon Mobil,Japan,Renault,US,272000,2089095
Chevron,France,ConocoPhillips,UK,273000,9080032
Tesla,Germany,Exxon Mobil,Japan,274000,202664
Walmart,UK,Nissan,UK,275000,1858645
Activision Blizard,Germany,Nissan,UK,276000,286098
Tesla,France,Activision Blizard,UK,277000,5262676
Walmart,Spain,Renault,Japan,278000,3270404
McKesson,Spain,John Coulberg,Japan,279000,5357686
Chevron,Japan,General Motos,US,280000,24888
John Coulberg,Japan,Activision Blizard,US,281000,7893800
Elon Musk,Germany,Tesla,Japan,282000,9181537
Nissan,Germany,Nissan,US,283000,8146235
Nissan,Germany,Activision Blizard,UK,284000,4720078
Nissan,US,Nissan,Spain,285000,3063859
Activision Blizard,Germany,Walmart,Spain,286000,7301409
ConocoPhillips,UK,Laurent Alexandre,UK,287000,1168920
Chevron,France,Chevron,US,288000,2577022
Exxon Mobil,Japan,Elon Musk,Japan,289000,297175
Exxon Mobil,France,McKesson,US,290000,9015554
Exxon Mobil,France,McKesson,US,291000,7076056
ConocoPhillips,Japan,Walmart,UK,292000,1686135
Walmart,Japan,Altaran,France,293000,8287728
McKesson,US,Walmart,Germany,294000,4130157
General Motos,Germany,Exxon Mobil,Germany,295000,6339240
Activision Blizard,Germany,Tesla,Germany,296000,946200
Activision Blizard,UK,McKesson,Spain,297000,6235491
Chevron,Germany,General Motos,Japan,298000,2221027
Laurent Alexandre,France,John Coulberg,Japan,299000,6472572
Walmart,US,Walmart,UK,300000,613557
Laurent Alexandre,US,Walmart,Spain,301000,4574831
Walmart,France,McKesson,Germany,302000,4320425
Chevron,France,Exxon Mobil,France,303000,1067899
Nissan,Japan,Laurent Alexandre,UK,304000,9098004
Exxon Mobil,US,Tesla,Japan,305000,3119342
Laurent Alexandre,UK,Renault,US,306000,6728395
McKesson,UK,Activision Blizard,Spain,307000,2005052
Laurent Alexandre,Germany,McKesson,US,308000,8110223
Walmart,UK,Activision Blizard,Spain,309000,9848479
ConocoPhillips,France,ConocoPhillips,France,310000,5069173
Elon Musk,Germany,McKesson,Spain,311000,3878718
Altaran,Spain,Tesla,Spain,312000,5748190
Activision Blizard,Germany,ConocoPhillips,France,313000,3417136
Nissan,Spain,ConocoPhillips,UK,314000,7539616
Exxon Mobil,US,Tesla,US,315000,768334
Chevron,Germany,John Coulberg,Spain,316000,8943599
Laurent Alexandre,US,Tesla,Germany,317000,6372954
Altaran,France,Walmart,US,318000,7698386
Renault,Germany,Tesla,France,319000,8272113
Renault,UK,Altaran,France,320000,1606846
Tesla,Spain,Chevron,Germany,321000,4467986
Exxon Mobil,France,Tesla,Japan,322000,8974461
McKesson,UK,Laurent Alexandre,US,323000,9343293
Renault,France,ConocoPhillips,Spain,324000,131570
John Coulberg,US,ConocoPhillips,UK,325000,9023933
McKesson,Spain,ConocoPhillips,UK,326000,2217057
ConocoPhillips,US,Laurent Alexandre,Spain,327000,7379478
Activision Blizard,Spain,John Coulberg,UK,328000,8297672
John Coulberg,UK,Activision Blizard,France,329000,2946240
Tesla,US,Altaran,Japan,330000,3101543
Elon Musk,France,Walmart,Spain,331000,3436366
John Coulberg,France,Walmart,US,332000,3085534
Laurent Alexandre,Japan,Activision Blizard,Germany,333000,6672872
General Motos,France,Exxon Mobil,US,334000,3635045
Walmart,UK,Altaran,US,335000,7987899
Altaran,UK,Nissan,France,336000,9028845
Walmart,US,Activision Blizard,Japan,337000,6102874
Renault,Spain,Tesla,Spain,338000,4302955
Renault,France,John Coulberg,France,339000,9963279
ConocoPhillips,Germany,Nissan,US,340000,3427737
Tesla,France,General Motos,Japan,341000,4852535
Renault,US,Chevron,Germany,342000,361699
Tesla,France,Renault,UK,343000,7017958
General Motos,UK,John Coulberg,US,344000,3734827
General Motos,Japan,McKesson,Japan,345000,5772150
General Motos,US,ConocoPhillips,France,346000,3934272
Activision Blizard,Japan,Chevron,Spain,347000,9346701
Exxon Mobil,US,Exxon Mobil,UK,348000,8817092
Chevron,France,Tesla,Spain,349000,2284604
Renault,US,Altaran,UK,350000,5449838
Renault,Japan,Nissan,UK,351000,6636508
Walmart,Spain,Nissan,US,352000,2765203
Altaran,Germany,Activision Blizard,UK,353000,2642447
Altaran,US,Tesla,Spain,354000,1699544
Elon Musk,Spain,John Coulberg,Germany,355000,9504752
Renault,France,McKesson,US,356000,8097222
Walmart,US,Chevron,Germany,357000,8554673
Elon Musk,UK,General Motos,Spain,358000,1830619
McKesson,Germany,Activision Blizard,Germany,359000,2743556
McKesson,France,Chevron,France,360000,8311153
Renault,US,John Coulberg,Japan,361000,520852
Walmart,Germany,John Coulberg,Japan,362000,6873212
Altaran,Japan,Nissan,US,363000,7225238
Walmart,Spain,Altaran,US,364000,2320101
Nissan,Japan,McKesson,France,365000,4758070
Elon Musk,US,Nissan,Japan,366000,2623920
Tesla,UK,John Coulberg,Japan,367000,3466030
General Motos,Japan,Nissan,Japan,368000,4769919
Nissan,US,Nissan,Germany,369000,3210542
McKesson,Japan,Laurent Alexandre,Germany,370000,1126383
Nissan,Spain,Walmart,US,371000,2301495
Exxon Mobil,Germany,Activision Blizard,US,372000,1292472
Exxon Mobil,US,Exxon Mobil,Spain,373000,7350127
Renault,Japan,Nissan,Japan,374000,6784992
McKesson,Germany,Tesla,US,375000,3261262
John Coulberg,UK,Altaran,Spain,376000,5863655
Laurent Alexandre,US,Laurent Alexandre,Germany,377000,703464
Activision Blizard,Germany,Chevron,Germany,378000,773446
Exxon Mobil,US,Activision Blizard,Spain,379000,7591822
Tesla,France,Walmart,Japan,380000,9099434
Elon Musk,Germany,Tesla,UK,381000,1759624
Nissan,US,Walmart,Japan,382000,1087710
Tesla,UK,Walmart,Japan,383000,4282387
Nissan,Japan,Altaran,US,384000,585153
Laurent Alexandre,Japan,Laurent Alexandre,US,385000,7523017
Walmart,Germany,Chevron,France,386000,9488687
McKesson,Spain,John Coulberg,France,387000,7727715
Altaran,France,General Motos,Germany,388000,7087932
Activision Blizard,Japan,Walmart,Spain,389000,3323049
Chevron,UK,Walmart,Japan,390000,3327265
McKesson,US,Elon Musk,US,391000,1768102
Laurent Alexandre,US,Renault,Germany,392000,2628181
McKesson,US,McKesson,US,393000,555296
Elon Musk,France,Exxon Mobil,Germany,394000,9404953
McKesson,France,Tesla,Spain,395000,8433613
Exxon Mobil,France,John Coulberg,US,396000,7073953
Tesla,Spain,Altaran,Japan,397000,6793974
Exxon Mobil,UK,Renault,UK,398000,4777454
General Motos,Germany,Altaran,Japan,399000,4052146
Tesla,US,Walmart,Japan,400000,440750
Nissan,France,General Motos,US,401000,4353657
Laurent Alexandre,Japan,Altaran,Germany,402000,4668373
Laurent Alexandre,US,General Motos,France,403000,8096791
Renault,France,Exxon Mobil,Spain,404000,731089
Tesla,Spain,McKesson,UK,405000,2832759
Walmart,France,Exxon Mobil,Germany,406000,5105422
Walmart,Japan,Laurent Alexandre,UK,407000,1914602
Nissan,Germany,McKesson,Spain,408000,3722209
McKesson,Spain,Walmart,UK,409000,4725342
Nissan,Germany,John Coulberg,Spain,410000,5457324
McKesson,US,John Coulberg,US,411000,742588
Tesla,Germany,ConocoPhillips,Japan,412000,4927647
Walmart,UK,Altaran,UK,413000,4742611
Laurent Alexandre,Germany,Tesla,Spain,414000,298758
Renault,France,Laurent Alexandre,Germany,415000,2731307
Walmart,Japan,ConocoPhillips,UK,416000,8587585
Tesla,US,Chevron,US,417000,9863726
Altaran,Spain,Elon Musk,US,418000,5985663
Altaran,Germany,John Coulberg,Germany,419000,9725145
McKesson,Japan,Laurent Alexandre,US,420000,4764226
Activision Blizard,Germany,Tesla,Spain,421000,4871954
Altaran,US,Renault,UK,422000,3262453
Walmart,UK,General Motos,France,423000,8057435
Altaran,UK,Elon Musk,Germany,424000,7732237
Laurent Alexandre,UK,Nissan,Germany,425000,6804808
Chevron,US,ConocoPhillips,Japan,426000,729767
Nissan,Germany,Laurent Alexandre,Germany,427000,2205937
Chevron,US,Exxon Mobil,US,428000,6392749
Nissan,France,Activision Blizard,Germany,429000,604814
Laurent Alexandre,US,Altaran,UK,430000,5647063
General Motos,France,Chevron,US,431000,649077
McKesson,Germany,Chevron,France,432000,6597618
ConocoPhillips,Japan,Renault,France,433000,1196511
Nissan,Germany,Nissan,France,434000,4457032
Renault,Germany,Chevron,Germany,435000,3403577
Altaran,UK,McKesson,Germany,436000,5022311
Nissan,Japan,Exxon Mobil,Germany,437000,1202243
Activision Blizard,Spain,Chevron,France,438000,8145777
John Coulberg,US,Laurent Alexandre,Germany,439000,7851480
Renault,Spain,ConocoPhillips,US,440000,1457371
Renault,France,General Motos,UK,441000,2515691
Nissan,Japan,Tesla,US,442000,67808
Walmart,UK,Altaran,US,443000,370160
Nissan,US,Renault,Germany,444000,4176406
Elon Musk,US,Renault,Japan,445000,8876162
Elon Musk,UK,McKesson,US,446000,370674
Elon Musk,UK,Elon Musk,France,447000,1714975
Tesla,France,Walmart,UK,448000,2328838
ConocoPhillips,US,ConocoPhillips,UK,449000,8758161
General Motos,UK,Laurent Alexandre,Japan,450000,1303509
Nissan,US,Renault,Spain,451000,4018219
Renault,US,Altaran,Germany,452000,7527209
General Motos,France,Walmart,Japan,453000,4803305
McKesson,US,Laurent Alexandre,Germany,454000,7160443
ConocoPhillips,Germany,Altaran,Germany,455000,1368690
Activision Blizard,US,Tesla,US,456000,2679884
Activision Blizard,Japan,Renault,Spain,457000,2690424
Exxon Mobil,UK,Walmart,Japan,458000,8908376
Nissan,Spain,Nissan,Japan,459000,7433943
Nissan,Germany,McKesson,Japan,460000,8516428
Walmart,Spain,Walmart,Germany,461000,6481022
Laurent Alexandre,France,Elon Musk,Spain,462000,7585599
Exxon Mobil,Spain,General Motos,Japan,463000,95754
ConocoPhillips,Germany,Elon Musk,Japan,464000,6101664
McKesson,France,Altaran,Japan,465000,8483042
Chevron,France,ConocoPhillips,US,466000,8940680
Elon Musk,Spain,John Coulberg,Germany,467000,7830750
McKesson,France,Laurent Alexandre,US,468000,1236122
General Motos,US,ConocoPhillips,UK,469000,6684109
ConocoPhillips,Japan,Activision Blizard,Japan,470000,2073805
Chevron,France,Activision Blizard,Spain,471000,3641113
Exxon Mobil,Germany,Laurent Alexandre,Spain,472000,6018251
Activision Blizard,UK,General Motos,US,473000,9795728
Tesla,Germany,Exxon Mobil,US,474000,8050942
Altaran,France,Tesla,Germany,475000,6404294
Elon Musk,US,Activision Blizard,UK,476000,7394195
McKesson,UK,Laurent Alexandre,France,477000,5366677
Chevron,Germany,Elon Musk,UK,478000,9791741
General Motos,UK,Renault,Germany,479000,593129
Activision Blizard,Japan,Tesla,UK,480000,712287
Nissan,UK,Nissan,Spain,481000,6911248
Exxon Mobil,UK,Altaran,Spain,482000,2069685
Elon Musk,UK,Nissan,Spain,483000,7652724
General Motos,US,Elon Musk,US,484000,283147
Exxon Mobil,France,Renault,US,485000,5310505
John Coulberg,Germany,John Coulberg,UK,486000,4455934
Altaran,UK,Chevron,Spain,487000,515874
General Motos,UK,John Coulberg,Japan,488000,2652628
Elon Musk,UK,Altaran,US,489000,5507334
Elon Musk,Spain,Chevron,UK,490000,1447301
ConocoPhillips,US,Altaran,France,491000,1797523
Nissan,Spain,Nissan,US,492000,4159748
Exxon Mobil,France,Exxon Mobil,US,493000,8408126
Altaran,UK,ConocoPhillips,US,494000,6709240
Activision Blizard,Japan,Elon Musk,US,495000,2310932
Walmart,France,Elon Musk,Germany,496000,3877246
General Motos,Japan,Renault,France,497000,6333910
John Coulberg,Japan,General Motos,Spain,498000,7714487
McKesson,France,John Coulberg,US,499000,1619896
General Motos,US,Laurent Alexandre,France,500000,3547280
ConocoPhillips,Germany,General Motos,US,501000,7374043
Exxon Mobil,Germany,Laurent Alexandre,France,502000,546733
John Coulberg,Germany,McKesson,US,503000,6623872
John Coulberg,US,ConocoPhillips,UK,504000,1948671
Exxon Mobil,Germany,Laurent Alexandre,Spain,505000,938947
Nissan,France,Elon Musk,Germany,506000,2593096
Nissan,UK,Exxon Mobil,US,507000,366374
ConocoPhillips,Japan,Exxon Mobil,Spain,508000,284698
Exxon Mobil,Spain,Nissan,Germany,509000,3467979
Chevron,Germany,McKesson,Germany,510000,6340880
Exxon Mobil,US,Tesla,France,511000,2350771
Activision Blizard,UK,John Coulberg,Spain,512000,7199494
Exxon Mobil,Spain,Walmart,Japan,513000,2252923
Walmart,France,Nissan,Spain,514000,8683202
General Motos,US,McKesson,US,515000,2634385
Renault,Japan,General Motos,France,516000,9253113
Chevron,Japan,Walmart,Spain,517000,7100369
John Coulberg,France,Walmart,Japan,518000,6556844
Altaran,US,John Coulberg,US,519000,7972250
ConocoPhillips,US,ConocoPhillips,Spain,520000,7978564
Laurent Alexandre,UK,Walmart,Germany,521000,3646402
Nissan,UK,Exxon Mobil,Spain,522000,5807074
Chevron,UK,Chevron,US,523000,5763821
ConocoPhillips,Japan,Elon Musk,France,524000,214102
Elon Musk,Japan,McKesson,Germany,525000,250952
Tesla,US,McKesson,US,526000,8039731
Activision Blizard,UK,Activision Blizard,Germany,527000,2947967
ConocoPhillips,UK,General Motos,Germany,528000,2894916
Altaran,US,Nissan,Germany,529000,8408905
Altaran,Japan,Laurent Alexandre,UK,530000,9417214
Chevron,Germany,ConocoPhillips,Germany,531000,748819
Nissan,France,Renault,US,532000,2390085
Nissan,UK,Exxon Mobil,Spain,533000,4995510
Exxon Mobil,Germany,General Motos,UK,534000,5826757
Elon Musk,Japan,Laurent Alexandre,France,535000,849113
Renault,Spain,Activision Blizard,US,536000,1268977
